model,accuracy,precision,recall,f1,roc_auc,pr_auc
random_forest,0.9311926605504587,0.9519230769230769,0.908256880733945,0.9295774647887324,0.9773588081811295,0.9802897965799636
gradient_boosting,0.9174311926605505,0.9504950495049505,0.8807339449541285,0.9142857142857143,0.979210504166316,0.9818271770367625
logistic_regression,0.6743119266055045,0.6557377049180327,0.7339449541284404,0.6926406926406926,0.7384058580927533,0.7363638285430887
