,importance
hour_of_day,0.15182154252932217
is_rush_hour,0.14336173172988323
direction_id,0.10517278162832701
route_stop_count,0.09941130159095256
stop_position_pct,0.09818594717720018
stop_sequence,0.09325937280452848
is_weekend,0.08351542646713979
speed_mph,0.07734604754743532
temp_range,0.07421184766910283
tmax,0.07371400085610852
prcp,0.0
is_rainy,0.0
