model,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,precision_mean,precision_std,recall_mean,recall_std
Random Forest,0.9846153846153847,0.03440104580768907,1.0,0.0,1.0,0.0,0.9714285714285713,0.063887656499994,1.0,0.0
Logistic Regression,0.9512820512820512,0.07387107841480987,0.9965517241379309,0.0077105792327579106,0.9125714285714286,0.19549622888998164,0.9142857142857143,0.12777531299998798,1.0,0.0
SVM,0.9512820512820512,0.07387107841480987,1.0,0.0,1.0,0.0,0.9142857142857143,0.12777531299998798,1.0,0.0
