model,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,precision_mean,precision_std,recall_mean,recall_std
Random Forest,0.9846153846153847,0.03440104580768907,0.9994252873563217,0.001285096538792998,0.9896825396825397,0.023070542624997838,0.9714285714285713,0.063887656499994,1.0,0.0
Logistic Regression,0.9512820512820512,0.07387107841480987,0.9956896551724139,0.007465736239520986,0.8955873015873015,0.18960177599197126,0.9142857142857143,0.12777531299998798,1.0,0.0
SVM,0.9512820512820512,0.07387107841480987,1.0,0.0,1.0,0.0,0.9142857142857143,0.12777531299998798,1.0,0.0
Dummy Baseline,0.0,0.0,0.5,0.0,0.04760872510499932,0.0035142106136021607,0.0,0.0,0.0,0.0
