feature,importance
cat__route_long_name_Milpitas BART - Alder Stn via McCarthy Ranch,1.6869475937924668e-17
cat__trip_headsign_RAPID EASTRIDGE,1.6381553760706757e-17
cat__route_id_52,1.636870288521584e-17
cat__route_id_42,1.2655062249013932e-17
num__wheelchair_accessible,1.2647688191514802e-17
cat__route_short_name_61,1.2089131534545662e-17
cat__route_long_name_Camden & Hwy 85 - Stanford Research Park,1.1554865382454424e-17
cat__trip_headsign_MCKEE & WHITE,1.1344627216504886e-17
cat__trip_headsign_FOOTHILL COLLEGE,9.621598262646386e-18
cat__route_short_name_86,9.49845261875505e-18
cat__trip_headsign_OLD IRONSIDES STATION,7.543132492249193e-18
cat__route_long_name_Moffett Field - West Valley Coll,7.105824311022556e-18
cat__route_short_name_53,6.642462157715979e-18
cat__route_long_name_Milpitas BART - Sunnyvale TC,5.927947934623034e-18
cat__route_id_84,4.645659710267393e-18
cat__route_id_53,4.1862953253800986e-18
cat__route_id_Rapid 523,4.1741135236177e-18
cat__route_id_86,4.088839267997294e-18
cat__route_long_name_Evergreen Valley Coll - Eastridge,2.284910721107225e-18
cat__trip_headsign_SENTER & MONTEREY VIA SENTER,2.131802650562467e-18
cat__trip_headsign_EXPRESS STANFORD RESEARCH PARK,1.996718767447748e-18
cat__route_id_72,1.7931804146153628e-18
cat__route_long_name_San Jose State - Lockheed Martin via De Anza,7.878514026523392e-19
cat__route_short_name_55,6.96938090421958e-19
num__pickup_type,0.0
num__bikes_allowed,0.0
num__route_type,0.0
cat__route_id_47,0.0
cat__route_id_37,0.0
num__end_date_month,0.0
cat__route_id_20,0.0
num__wx_date_month,0.0
num__wx_date_hour,0.0
cat__route_id_59,0.0
cat__route_id_51,0.0
num__drop_off_type,0.0
num__is_rainy,0.0
num__prcp,0.0
num__exception_removed_count,0.0
num__has_exception,0.0
num__exception_added_count,0.0
num__start_date_hour,0.0
num__start_date_month,0.0
num__end_date_hour,0.0
cat__trip_headsign_GREAT AMERICA ACE STATION,0.0
cat__trip_headsign_GOOD SAM HOSPITAL VIA UNION,0.0
cat__trip_headsign_FAIR OAKS & TASMAN,0.0
cat__trip_headsign_DOWNTOWN SAN JOSE VIA SENTER,0.0
cat__trip_headsign_BERRYESSA BART,0.0
cat__trip_headsign_BAYPOINTE STATION,0.0
cat__route_id_Rapid 568,0.0
cat__route_id_83,0.0
cat__route_id_89,0.0
cat__route_id_85,0.0
cat__route_id_ACE Gray,0.0
cat__route_id_ACE Purple,0.0
cat__route_id_Rapid 500,0.0
cat__route_id_Express 101,0.0
cat__trip_headsign_ALDER STATION,0.0
cat__route_short_name_31,0.0
cat__trip_headsign_RAPID SJ DIRIDON,0.0
cat__trip_headsign_MILPITAS BART VIA AIRPORT,0.0
cat__trip_headsign_MONTEREY & OLD TULLY,0.0
cat__trip_headsign_LOCKHEED MARTIN,0.0
cat__route_short_name_42,0.0
cat__route_short_name_37,0.0
cat__route_short_name_47,0.0
cat__route_short_name_52,0.0
cat__trip_headsign_infrequent_sklearn,0.0
cat__trip_headsign_RAPID PALO ALTO,0.0
cat__trip_headsign_RAPID LOCKHEED MARTIN,0.0
cat__trip_headsign_OHLONE-CHYNOWETH STATION,0.0
cat__trip_headsign_SAN JOSE STATE,0.0
cat__trip_headsign_VA HOSPITAL,0.0
