model,cv_accuracy_mean,cv_accuracy_std,cv_precision_mean,cv_recall_mean,cv_f1_mean,cv_roc_auc_mean,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_true_negatives,test_false_positives,test_false_negatives,test_true_positives,test_rows,predicted_positive_rows
logistic_regression,0.6988072255929398,0.04183960414688282,0.15465561224489796,0.6041666666666666,0.24523584808879956,0.692255582788671,0.7094594594594594,0.1702127659574468,0.6666666666666666,0.2711864406779661,0.7254901960784313,97,39,4,8,148,47
svm_rbf,0.7987336826622541,0.033178199156964835,0.1692408231368187,0.3541666666666667,0.22747116976590886,0.6154082697893972,0.7567567567567568,0.14705882352941177,0.4166666666666667,0.21739130434782608,0.6262254901960784,107,29,7,5,148,34
random_forest,0.9137019672733959,0.005653192375365361,0.0,0.0,0.0,0.7289283769063181,0.918918918918919,0.0,0.0,0.0,0.7371323529411765,136,0,12,0,148,0
