model,f1_mean,f1_std,roc_auc_mean,roc_auc_std,average_precision_mean,average_precision_std,precision_mean,precision_std,recall_mean,recall_std
Logistic Regression,0.9846153846153847,0.03440104580768907,0.9988505747126437,0.002570193077585926,0.9746825396825397,0.05661156228749473,0.9714285714285713,0.063887656499994,1.0,0.0
Random Forest,0.9846153846153847,0.03440104580768907,0.999425287356322,0.0012850965387929516,0.9896825396825397,0.023070542624997838,0.9714285714285713,0.063887656499994,1.0,0.0
SVM,0.9846153846153847,0.03440104580768907,1.0,0.0,1.0,0.0,0.9714285714285713,0.063887656499994,1.0,0.0
