"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TMAX","TMIN"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-03","0.00","66","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-04","0.00","58","39"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-05","0.00","60","39"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-06","0.00","57","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-07","0.00","56","45"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-08","0.00","57","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-09","0.00","58","41"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-10","0.00","60","42"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-11","0.00","59","42"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-12","0.00","58","38"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-13","0.00","57","36"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-14","0.00","51","40"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-15","0.00","56","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-16","0.00","65","43"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-17","0.01","71","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-18","0.00","62","46"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-19","0.00","68","52"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-20","0.00","66","60"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-21","0.00","65","61"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-22","0.00","67","59"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-23","0.03","67","55"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-24","0.31","64","55"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-25","0.61","63","52"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-26","0.04","61","47"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-27","0.00","57","44"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-28","0.00","59","38"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-29","0.00","62","35"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-30","0.00","52","35"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2025-12-31","0.28","53","45"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-01","0.47","62","51"
"USC00047821","SAN JOSE, CA US","37.34972","-121.90333","20.4","2026-01-02","0.11","64","53"
