snapshot_ts,feed_ts,vehicle_id,trip_id,route_id,direction_id,start_time,start_date,schedule_relationship,stop_id,current_stop_sequence,current_status,current_status_name,latitude,longitude,bearing,speed_mph,occupancy_status,occupancy_label,vehicle_timestamp
2026-04-24T03:29:04.197196+00:00,1777001344,0190,,,0,,,0,,,2,IN_TRANSIT_TO,37.411231994628906,-122.0740737915039,,0.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0191,3923701,Rapid 523,1,20:44:00,20260423,0,62943,1.0,1,INCOMING_AT,37.338382720947266,-121.8836669921875,,0.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0192,,,0,,,0,,,2,IN_TRANSIT_TO,37.41118240356445,-122.07413482666016,,0.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0196,3926058,60,0,19:43:00,20260423,0,65867,34.0,2,IN_TRANSIT_TO,37.366416931152344,-121.91453552246094,52.630001068115234,28.63,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0198,,,0,,,0,,,2,IN_TRANSIT_TO,37.29216384887695,-121.92064666748047,,0.0,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0199,,,0,,,0,,,2,IN_TRANSIT_TO,37.37441635131836,-121.91698455810547,,0.04,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0201,,,0,,,0,,,2,IN_TRANSIT_TO,37.307796478271484,-121.84800720214844,229.0,35.81,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0205,3925162,Rapid 568,1,19:35:00,20260423,0,63456,17.0,2,IN_TRANSIT_TO,37.088069915771484,-121.61223602294922,155.02999877929688,41.03,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0206,3925164,Rapid 568,1,20:10:00,20260423,0,63279,7.0,2,IN_TRANSIT_TO,37.30531311035156,-121.86304473876953,,0.01,2,FEW_SEATS_AVAILABLE,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0207,,,0,,,0,,,2,IN_TRANSIT_TO,37.195308685302734,-121.69943237304688,311.1000061035156,65.68,0,EMPTY,1777001328
2026-04-24T03:29:04.197196+00:00,1777001344,0212,,,0,,,0,,,2,IN_TRANSIT_TO,37.30752182006836,-121.85577392578125,,0.01,0,EMPTY,1777001328
