vehicle_id,trip_id,route_short_name,stop_sequence,current_status_name,latitude,longitude,speed_mph,occupancy_label,vehicle_timestamp,vehicle_ts_sod,arrival_sec,departure_sec,actual_delay_seconds,delay_minutes,is_delayed,snapshot_ts
6433,3933660,72,23,IN_TRANSIT_TO,37.31415939331055,-121.83561706542967,24.0,EMPTY,1775421033,48633,48608,48608,25,0.42,0,2026-04-05T20:30:51.928242+00:00
3458,3918993,25,40,IN_TRANSIT_TO,37.30939102172851,-121.8990478515625,30.02,EMPTY,1775440826,68426,68451,68451,-25,-0.42,0,2026-04-06T02:00:29.210655+00:00
8304,3917020,22,55,INCOMING_AT,37.35225296020508,-121.96133422851562,20.0,EMPTY,1775421033,48633,48609,48609,24,0.4,0,2026-04-05T20:30:51.928242+00:00
8315,3917038,22,6,IN_TRANSIT_TO,37.43351745605469,-122.15591430664062,41.84,FULL,1775433666,61266,61242,61242,24,0.4,0,2026-04-06T00:01:19.348037+00:00
4129,3916514,21,82,IN_TRANSIT_TO,37.44384002685547,-122.16568756103516,0.01,FEW_SEATS_AVAILABLE,1777001328,73728,73752,73752,-24,-0.4,0,2026-04-24T03:29:04.197196+00:00
0170,3928314,66,15,IN_TRANSIT_TO,37.42097854614258,-121.90444946289062,7.08,EMPTY,1775421033,48633,48609,48609,24,0.4,0,2026-04-05T20:30:51.928242+00:00
4407,3928301,66,21,IN_TRANSIT_TO,37.413856506347656,-121.90109252929688,8.61,EMPTY,1775433666,61266,61243,61243,23,0.38,0,2026-04-06T00:01:19.348037+00:00
0192,3924500,55,2,IN_TRANSIT_TO,37.40516662597656,-121.98018646240234,18.17,EMPTY,1775421033,48633,48655,48655,-22,-0.37,0,2026-04-05T20:30:51.928242+00:00
0134,3926059,60,3,IN_TRANSIT_TO,37.28164291381836,-121.94973754882812,27.8,EMPTY,1777001328,73728,73750,73750,-22,-0.37,0,2026-04-24T03:29:04.197196+00:00
4105,3920331,27,60,IN_TRANSIT_TO,37.222129821777344,-121.98301696777344,0.01,EMPTY,1777001328,73728,73750,73750,-22,-0.37,0,2026-04-24T03:29:04.197196+00:00
3482,3921969,Rapid 500,4,INCOMING_AT,37.33837127685547,-121.8861083984375,0.0,EMPTY,1775433666,61266,61287,61287,-21,-0.35,0,2026-04-06T00:01:19.348037+00:00
7451,3918985,25,27,INCOMING_AT,37.32542419433594,-121.86610412597656,20.0,FEW_SEATS_AVAILABLE,1775433666,61266,61287,61287,-21,-0.35,0,2026-04-06T00:01:19.348037+00:00
7445,3929571,70,21,IN_TRANSIT_TO,37.34011459350586,-121.819580078125,3.0,EMPTY,1777001328,73728,73748,73748,-20,-0.33,0,2026-04-24T03:29:04.197196+00:00
0137,3918073,23,6,IN_TRANSIT_TO,37.35636138916016,-121.848388671875,14.37,EMPTY,1775421033,48633,48614,48614,19,0.32,0,2026-04-05T20:30:51.928242+00:00
3442,3928151,66,44,IN_TRANSIT_TO,37.33406829833984,-121.88758850097656,22.7,FEW_SEATS_AVAILABLE,1777001328,73728,73747,73747,-19,-0.32,0,2026-04-24T03:29:04.197196+00:00
3423,3925415,57,11,IN_TRANSIT_TO,37.29364013671875,-121.98973083496094,16.01,EMPTY,1775440826,68426,68444,68444,-18,-0.3,0,2026-04-06T02:00:29.210655+00:00
3464,3918728,25,3,IN_TRANSIT_TO,37.31560897827149,-122.04143524169922,9.6,FULL,1777001328,73728,73710,73710,18,0.3,0,2026-04-24T03:29:04.197196+00:00
3436,3934658,77,21,IN_TRANSIT_TO,37.36189270019531,-121.86450958251952,37.75,EMPTY,1777001328,73728,73745,73745,-17,-0.28,0,2026-04-24T03:29:04.197196+00:00
0147,3917792,23,10,IN_TRANSIT_TO,37.34918594360352,-121.86329650878906,26.06,EMPTY,1777001328,73728,73711,73711,17,0.28,0,2026-04-24T03:29:04.197196+00:00
8341,3917112,22,33,INCOMING_AT,37.3319206237793,-121.9045639038086,3.33,FULL,1775440826,68426,68410,68410,16,0.27,0,2026-04-06T02:00:29.210655+00:00
8310,3923672,Rapid 523,7,INCOMING_AT,37.32356262207031,-121.91476440429688,31.41,FULL,1777001328,73728,73712,73712,16,0.27,0,2026-04-24T03:29:04.197196+00:00
7431,3928863,68,30,IN_TRANSIT_TO,37.262901306152344,-121.81478881835938,30.39,FEW_SEATS_AVAILABLE,1777001328,73728,73744,73744,-16,-0.27,0,2026-04-24T03:29:04.197196+00:00
4403,3926972,61,48,IN_TRANSIT_TO,37.36888122558594,-121.87450408935548,7.23,EMPTY,1775433666,61266,61281,61281,-15,-0.25,0,2026-04-06T00:01:19.348037+00:00
3461,3917829,23,45,IN_TRANSIT_TO,37.32313919067383,-121.99449920654295,11.15,EMPTY,1777001328,73728,73743,73743,-15,-0.25,0,2026-04-24T03:29:04.197196+00:00
7418,3934720,77,10,IN_TRANSIT_TO,37.387413024902344,-121.88624572753906,14.45,FEW_SEATS_AVAILABLE,1777001328,73728,73742,73742,-14,-0.23,0,2026-04-24T03:29:04.197196+00:00
6408,3929818,70,25,INCOMING_AT,37.3613166809082,-121.84644317626952,0.02,EMPTY,1775433666,61266,61280,61280,-14,-0.23,0,2026-04-06T00:01:19.348037+00:00
4405,3924883,56,3,IN_TRANSIT_TO,37.39801025390625,-122.01212310791016,9.0,EMPTY,1775433666,61266,61252,61252,14,0.23,0,2026-04-06T00:01:19.348037+00:00
3422,3925440,57,4,IN_TRANSIT_TO,37.39957809448242,-121.97804260253906,25.79,EMPTY,1775433666,61266,61280,61280,-14,-0.23,0,2026-04-06T00:01:19.348037+00:00
0166,3918022,23,3,IN_TRANSIT_TO,37.32280731201172,-122.03746032714844,0.01,EMPTY,1775433666,61266,61280,61280,-14,-0.23,0,2026-04-06T00:01:19.348037+00:00
3430,3933073,71,10,IN_TRANSIT_TO,37.34903335571289,-121.81260681152344,27.74,EMPTY,1775433666,61266,61252,61252,14,0.23,0,2026-04-06T00:01:19.348037+00:00
0156,3918011,23,3,IN_TRANSIT_TO,37.32282638549805,-122.03528594970705,0.02,EMPTY,1775421033,48633,48620,48620,13,0.22,0,2026-04-05T20:30:51.928242+00:00
