snapshot_ts,feed_ts,entity_id,trip_id,route_id,vehicle_id,stop_id,stop_sequence,arrival_time,arrival_delay,departure_time,departure_delay
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,61366,1,,,1775367540.0,0.0
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,64507,2,1775367670.0,0.0,1775367670.0,0.0
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,64509,3,1775367719.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,64511,4,1775367811.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,62694,5,1775367890.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,62526,6,1775367936.0,0.0,1775367960.0,0.0
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,62365,7,1775368015.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,65697,8,1775368143.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,60855,9,1775368331.0,0.0,1775368331.0,0.0
2026-04-05T05:17:29.887602+00:00,1775366250,3916427,3916427,200,3476,61532,10,1775368921.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60041,92,1775366233.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60042,93,1775366295.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60043,94,1775366345.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60044,95,1775366390.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60045,96,1775366422.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60046,97,1775366442.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60047,98,1775366465.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60048,99,1775366508.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60049,100,1775366529.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,60050,101,1775366543.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,65707,102,1775366565.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916887,3916887,22,8306,65812,103,1775366692.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60399,65,1775366230.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60400,66,1775366254.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60401,67,1775366289.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60402,68,1775366307.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60403,69,1775366323.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60404,70,1775366371.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60406,71,1775366406.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60408,72,1775366517.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60409,73,1775366618.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60410,74,1775366749.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60411,75,1775366941.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60412,76,1775367179.0,0.0,1775367179.0,0.0
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60413,77,1775367260.0,0.0,,
2026-04-05T05:17:29.887602+00:00,1775366250,3916888,3916888,22,8303,60414,78,1775367313.0,0.0,,
