hour_of_day,is_rush_hour,is_weekend,route_stop_count,stop_position_pct,tmax,prcp,is_rainy,temp_range,stop_sequence,direction_id,speed_mph,is_delayed
20.0,0.0,0.0,153.0,0.41025641025641024,62.0,0.0,0.0,24.0,32.0,0.0,25.35,0
20.0,0.0,0.0,153.0,0.16666666666666666,62.0,0.0,0.0,24.0,13.0,0.0,24.12,0
13.0,0.0,1.0,153.0,0.9125,68.0,0.0,0.0,25.0,73.0,1.0,37.0,1
13.0,0.0,1.0,153.0,0.8625,68.0,0.0,0.0,25.0,69.0,1.0,37.23,0
13.0,0.0,1.0,153.0,0.5625,68.0,0.0,0.0,25.0,45.0,1.0,4.07,0
13.0,0.0,1.0,153.0,0.275,68.0,0.0,0.0,25.0,22.0,1.0,17.12,1
13.0,0.0,1.0,153.0,0.1875,68.0,0.0,0.0,25.0,15.0,1.0,7.08,0
13.0,0.0,1.0,153.0,0.0125,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
16.0,1.0,1.0,153.0,0.8875,68.0,0.0,0.0,25.0,71.0,1.0,21.21,0
17.0,1.0,1.0,153.0,0.7125,68.0,0.0,0.0,25.0,57.0,1.0,21.14,0
17.0,1.0,1.0,153.0,0.4875,68.0,0.0,0.0,25.0,39.0,1.0,16.0,0
17.0,1.0,1.0,153.0,0.2625,68.0,0.0,0.0,25.0,21.0,1.0,8.61,0
17.0,1.0,1.0,153.0,0.0125,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
19.0,1.0,1.0,153.0,0.9375,68.0,0.0,0.0,25.0,75.0,1.0,0.03,0
19.0,1.0,1.0,153.0,0.25,68.0,0.0,0.0,25.0,20.0,1.0,0.0,0
18.0,1.0,1.0,153.0,0.025,68.0,0.0,0.0,25.0,2.0,1.0,11.0,0
20.0,0.0,0.0,153.0,0.975,62.0,0.0,0.0,24.0,78.0,1.0,0.0,0
20.0,0.0,0.0,153.0,0.7,62.0,0.0,0.0,24.0,56.0,1.0,12.44,0
20.0,0.0,0.0,153.0,0.55,62.0,0.0,0.0,24.0,44.0,1.0,22.7,0
20.0,0.0,0.0,153.0,0.2625,62.0,0.0,0.0,24.0,21.0,1.0,0.0,1
13.0,0.0,1.0,118.0,0.8,68.0,0.0,0.0,25.0,40.0,1.0,26.77,1
13.0,0.0,1.0,118.0,0.48,68.0,0.0,0.0,25.0,24.0,1.0,11.12,0
13.0,0.0,1.0,118.0,0.2,68.0,0.0,0.0,25.0,10.0,1.0,4.13,0
13.0,0.0,1.0,118.0,0.02,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
13.0,0.0,1.0,118.0,0.02,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
16.0,1.0,1.0,118.0,0.12,68.0,0.0,0.0,25.0,6.0,1.0,34.44,1
17.0,1.0,1.0,118.0,0.1,68.0,0.0,0.0,25.0,5.0,1.0,0.0,0
17.0,1.0,1.0,118.0,0.02,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
19.0,1.0,1.0,118.0,0.34,68.0,0.0,0.0,25.0,17.0,1.0,0.01,0
19.0,1.0,1.0,118.0,0.02,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
20.0,0.0,0.0,118.0,1.0,62.0,0.0,0.0,24.0,50.0,1.0,0.0,0
20.0,0.0,0.0,118.0,0.58,62.0,0.0,0.0,24.0,29.0,1.0,25.02,0
20.0,0.0,0.0,118.0,0.1864406779661017,62.0,0.0,0.0,24.0,11.0,1.0,32.0,0
13.0,0.0,1.0,118.0,0.6923076923076923,68.0,0.0,0.0,25.0,36.0,0.0,0.0,1
13.0,0.0,1.0,118.0,0.4230769230769231,68.0,0.0,0.0,25.0,22.0,0.0,28.28,0
13.0,0.0,1.0,118.0,0.019230769230769232,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
17.0,1.0,1.0,118.0,0.8846153846153846,68.0,0.0,0.0,25.0,46.0,0.0,30.82,0
17.0,1.0,1.0,118.0,0.6730769230769231,68.0,0.0,0.0,25.0,35.0,0.0,0.46,0
17.0,1.0,1.0,118.0,0.21153846153846154,68.0,0.0,0.0,25.0,11.0,0.0,18.0,0
17.0,1.0,1.0,118.0,0.019230769230769232,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
19.0,1.0,1.0,118.0,0.6153846153846154,68.0,0.0,0.0,25.0,32.0,0.0,0.01,0
19.0,1.0,1.0,118.0,0.019230769230769232,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
20.0,0.0,0.0,118.0,0.6153846153846154,62.0,0.0,0.0,24.0,32.0,0.0,0.01,0
20.0,0.0,0.0,118.0,0.8852459016393442,62.0,0.0,0.0,24.0,54.0,0.0,26.8,0
13.0,0.0,1.0,96.0,0.8,68.0,0.0,0.0,25.0,40.0,0.0,0.0,0
13.0,0.0,1.0,96.0,0.62,68.0,0.0,0.0,25.0,31.0,0.0,0.72,0
13.0,0.0,1.0,96.0,0.36,68.0,0.0,0.0,25.0,18.0,0.0,27.12,0
13.0,0.0,1.0,96.0,0.02,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
16.0,1.0,1.0,96.0,0.82,68.0,0.0,0.0,25.0,41.0,0.0,30.01,1
17.0,1.0,1.0,96.0,0.66,68.0,0.0,0.0,25.0,33.0,0.0,20.0,0
17.0,1.0,1.0,96.0,0.52,68.0,0.0,0.0,25.0,26.0,0.0,0.2,0
16.0,1.0,1.0,96.0,0.12,68.0,0.0,0.0,25.0,6.0,0.0,0.0,0
19.0,1.0,1.0,96.0,0.68,68.0,0.0,0.0,25.0,34.0,0.0,25.44,0
19.0,1.0,1.0,96.0,0.52,68.0,0.0,0.0,25.0,26.0,0.0,28.0,0
19.0,1.0,1.0,96.0,0.02,68.0,0.0,0.0,25.0,1.0,0.0,6.38,0
20.0,0.0,0.0,96.0,1.0,62.0,0.0,0.0,24.0,50.0,0.0,34.34,0
20.0,0.0,0.0,96.0,0.68,62.0,0.0,0.0,24.0,34.0,0.0,28.63,0
20.0,0.0,0.0,96.0,0.48,62.0,0.0,0.0,24.0,24.0,0.0,3.42,0
20.0,0.0,0.0,96.0,0.06,62.0,0.0,0.0,24.0,3.0,0.0,27.8,0
13.0,0.0,1.0,96.0,0.8979591836734694,68.0,0.0,0.0,25.0,44.0,1.0,0.01,0
13.0,0.0,1.0,96.0,0.4897959183673469,68.0,0.0,0.0,25.0,24.0,1.0,27.35,0
13.0,0.0,1.0,96.0,0.3469387755102041,68.0,0.0,0.0,25.0,17.0,1.0,30.41,0
13.0,0.0,1.0,96.0,0.02040816326530612,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
13.0,0.0,1.0,96.0,0.02040816326530612,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
16.0,1.0,1.0,96.0,1.0,68.0,0.0,0.0,25.0,49.0,1.0,24.22,0
16.0,1.0,1.0,96.0,0.6938775510204082,68.0,0.0,0.0,25.0,34.0,1.0,9.06,0
16.0,1.0,1.0,96.0,0.3877551020408163,68.0,0.0,0.0,25.0,19.0,1.0,37.87,0
16.0,1.0,1.0,96.0,0.1836734693877551,68.0,0.0,0.0,25.0,9.0,1.0,24.43,0
17.0,1.0,1.0,96.0,0.02040816326530612,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
19.0,1.0,1.0,96.0,0.7346938775510204,68.0,0.0,0.0,25.0,36.0,1.0,0.0,0
19.0,1.0,1.0,96.0,0.4489795918367347,68.0,0.0,0.0,25.0,22.0,1.0,33.74,0
18.0,1.0,1.0,96.0,0.04081632653061224,68.0,0.0,0.0,25.0,2.0,1.0,0.0,0
19.0,1.0,1.0,96.0,0.02040816326530612,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
20.0,0.0,0.0,96.0,0.8571428571428571,62.0,0.0,0.0,24.0,42.0,1.0,0.0,0
20.0,0.0,0.0,96.0,0.4489795918367347,62.0,0.0,0.0,24.0,22.0,1.0,37.1,0
20.0,0.0,0.0,96.0,0.02040816326530612,62.0,0.0,0.0,24.0,1.0,1.0,0.0,0
13.0,0.0,1.0,188.0,0.9578947368421052,68.0,0.0,0.0,25.0,91.0,0.0,0.0,0
13.0,0.0,1.0,188.0,0.7368421052631579,68.0,0.0,0.0,25.0,70.0,0.0,33.57,0
13.0,0.0,1.0,188.0,0.5894736842105263,68.0,0.0,0.0,25.0,56.0,0.0,0.0,0
13.0,0.0,1.0,188.0,0.30526315789473685,68.0,0.0,0.0,25.0,29.0,0.0,18.0,0
13.0,0.0,1.0,188.0,0.05263157894736842,68.0,0.0,0.0,25.0,5.0,0.0,0.15,0
13.0,0.0,1.0,188.0,0.010526315789473684,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
17.0,1.0,1.0,188.0,0.8526315789473684,68.0,0.0,0.0,25.0,81.0,0.0,33.0,0
17.0,1.0,1.0,188.0,0.4842105263157895,68.0,0.0,0.0,25.0,46.0,0.0,52.0,0
17.0,1.0,1.0,188.0,0.25263157894736843,68.0,0.0,0.0,25.0,24.0,0.0,43.32,0
17.0,1.0,1.0,188.0,0.010526315789473684,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
17.0,1.0,1.0,188.0,0.010526315789473684,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
19.0,1.0,1.0,188.0,0.8526315789473684,68.0,0.0,0.0,25.0,81.0,0.0,0.0,0
18.0,1.0,1.0,188.0,0.6210526315789474,68.0,0.0,0.0,25.0,59.0,0.0,31.0,0
18.0,1.0,1.0,188.0,0.45263157894736844,68.0,0.0,0.0,25.0,43.0,0.0,48.35,0
19.0,1.0,1.0,188.0,0.18947368421052632,68.0,0.0,0.0,25.0,18.0,0.0,46.35,0
20.0,0.0,0.0,188.0,0.968421052631579,62.0,0.0,0.0,24.0,92.0,0.0,0.0,0
19.0,1.0,1.0,188.0,0.010526315789473684,68.0,0.0,0.0,25.0,1.0,0.0,0.0,0
20.0,0.0,0.0,188.0,0.4421052631578947,62.0,0.0,0.0,24.0,42.0,0.0,50.88,1
20.0,0.0,0.0,188.0,0.11578947368421053,62.0,0.0,0.0,24.0,11.0,0.0,45.0,1
20.0,0.0,0.0,188.0,0.010526315789473684,62.0,0.0,0.0,24.0,1.0,0.0,0.0,0
13.0,0.0,1.0,188.0,0.9473684210526315,68.0,0.0,0.0,25.0,90.0,1.0,14.31,0
13.0,0.0,1.0,188.0,0.6947368421052632,68.0,0.0,0.0,25.0,66.0,1.0,0.0,0
13.0,0.0,1.0,188.0,0.49473684210526314,68.0,0.0,0.0,25.0,47.0,1.0,0.0,0
13.0,0.0,1.0,188.0,0.3263157894736842,68.0,0.0,0.0,25.0,31.0,1.0,0.0,0
13.0,0.0,1.0,188.0,0.010526315789473684,68.0,0.0,0.0,25.0,1.0,1.0,0.0,0
17.0,1.0,1.0,188.0,0.8631578947368421,68.0,0.0,0.0,25.0,82.0,1.0,0.0,0
17.0,1.0,1.0,188.0,0.6210526315789474,68.0,0.0,0.0,25.0,59.0,1.0,41.0,0
